TaskID,TaskLink,ChallengeID,ChallengeLink,TaskName,TaskStatus,TaskPriority,MappedOn,CompletionTime,Mapper,ReviewStatus,Reviewer,ReviewedAt,ReviewTimeSeconds,AdditionalReviewers,Comments,BundleId,IsBundlePrimary,Tags
120115416,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115416]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2634002","Fixed","High",2021-11-14T21:31:14.327+01:00,117753,"Thibault Rommel",,"",,"","","","","",""
120115422,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115422]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627165","Already_Fixed","High",2021-11-15T12:14:19.539+01:00,36276,"joost schouppe",,"",,"","","","","",""
120115423,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115423]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627279","Already_Fixed","High",2021-11-15T21:54:57.602+01:00,34595,"joost schouppe",,"",,"","","","","",""
120115420,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115420]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2626453","Fixed","High",2021-11-14T22:26:15.460+01:00,4955,"Thibault Rommel",,"",,"","","","","",""
120115421,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115421]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627114","Fixed","High",2021-11-15T21:53:34.799+01:00,137279,"joost schouppe",,"",,"","","","","",""
120115428,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115428]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2633285","Fixed","High",2021-11-14T18:25:56.263+01:00,5630,"Thibault Rommel",,"",,"","","","","",""
120115425,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115425]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2627342","Fixed","High",2021-11-15T12:10:40.690+01:00,73127,"joost schouppe",,"",,"","","","","",""
120115426,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115426]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630025","Already_Fixed","High",2021-11-14T16:45:58.312+01:00,29037,"Thibault Rommel",,"",,"","","","","",""
120115427,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115427]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2630046","Already_Fixed","High",2021-11-15T19:41:35.751+01:00,17789,"Thibault Rommel",,"",,"","","","","",""
120115431,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115431]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2635877","Fixed","High",2021-11-14T18:45:57.435+01:00,54717,"Thibault Rommel",,"",,"","","","","",""
120115432,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115432]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2637923","Already_Fixed","High",2021-11-14T16:43:19.305+01:00,6480,"Thibault Rommel",,"",,"","","","","",""
120115429,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115429]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2633501","Fixed","High",2021-11-14T18:25:50.468+01:00,8462,"Thibault Rommel",,"",,"","","","","",""
120115430,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115430]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2633752","Fixed","High",2021-11-14T18:25:41.799+01:00,217148,"Thibault Rommel",,"",,"","","","","",""
120115434,[[hyperlink URL link=https://maproulette.org/challenge/23548/task/120115434]],23548,[[hyperlink URL link=https://maproulette.org/browse/challenges/23548]],"2638029","Already_Fixed","High",2021-11-14T16:43:12.697+01:00,64563,"Thibault Rommel",,"",,"","","","","",""
