bordId;xcoord_v2;ycoord_v2;bordcode;parameters_v2;name
2637792;107421,463699996;191509,5645;M4; ;Not oneway for bicycles
2637924;77013,9900999963;174285,820099998;M4; ;Not oneway for bicycles
2638022;77061,7000999972;174247,480099998;M4; ;Not oneway for bicycles
2638031;77007,7300999984;174173,620099999;M4; ;Not oneway for bicycles
2600759;30749,3751000017;200536,375100002;M5; ;Not oneway for bicycles and mofas
2626455;173908,625100002;182582,906300001;M5; ;Not oneway for bicycles and mofas
2627116;176752,271899998;181922,210299999;M5; ;Not oneway for bicycles and mofas
2627125;175975,146899998;183732,335299999;M5; ;Not oneway for bicycles and mofas
2627129;176006,521899998;183848,897700001;M5; ;Not oneway for bicycles and mofas
2627348;174845,250100002;182674,968699999;M5; ;Not oneway for bicycles and mofas
2628436;176597,781300001;181929,4375;M5; ;Not oneway for bicycles and mofas
